;1075;1076;1077;1125;1126;1127;1128;1129;1130;1131;1132;1172;1173;1174;1175;1176;1177;1178;1179;1180;1181;1182;1183;1184;1221;1222;1223;1224;1225;1227;1228;1229;1230;1231;1232;1233;1234;1235;1272;1273;1274;1278;1279;1280;1281;1282;1283;1284;1285;1286;1287;1326;1327;1331;1332;1333;1334;1335;1336;1337;1338;1339;1376;1377;1378;1380;1382;1383;1384;1385;1386;1387;1388;1389;1390;1426;1431;1434;1435;1436;1437;1438;1439;1441;1442;1480;1482;1483;1530;1532;1533;1580;1630;1684;1733;1734;1783;2068;2069;2118;2119;2168
2015-03-01 00:00:00;47;103;51;99;287;662;838;1065;1158;205;18;34;79;51;21;47;1321;1064;834;942;733;927;229;17;36;67;77;69;12;746;1213;1194;1514;969;1272;822;497;141;56;90;43;56;36;303;800;862;200;115;359;233;84;198;291;52;442;413;235;22;42;124;56;28;152;105;76;28;19;245;600;169;37;60;66;31;32;60;33;8;12;62;42;40;22;22;32;22;60;20;25;37;59;11;7;0;2;126;72;49;8;96;25;69
2015-03-01 01:00:00;31;62;20;43;218;660;743;1133;1236;250;12;45;52;34;15;59;1520;1206;801;845;523;766;126;3;30;55;42;75;11;917;1363;1174;1244;827;1204;630;196;102;39;43;30;52;37;220;582;673;181;129;289;116;91;215;252;32;296;261;125;7;21;94;38;18;171;98;89;12;16;136;393;119;34;39;43;36;37;60;34;3;12;47;46;13;22;21;21;13;39;14;22;36;48;6;10;0;1;42;2;14;0;35;1;36
2015-03-01 02:00:00;29;37;8;30;137;558;756;934;1264;324;7;16;27;22;7;71;1496;1353;646;743;353;653;127;1;22;45;22;43;11;1041;1392;961;1057;740;950;450;115;50;17;30;10;39;20;183;456;456;55;35;160;101;65;173;191;28;257;233;76;3;15;57;23;15;140;71;50;12;5;112;350;64;18;31;31;10;26;38;20;0;11;22;25;17;14;16;9;29;40;14;17;31;66;7;16;0;0;1;0;12;4;23;7;5
2015-03-01 03:00:00;16;28;4;22;83;512;533;742;1355;294;2;19;18;21;7;32;1096;1118;386;575;237;457;143;4;7;21;16;26;3;895;1014;630;695;479;793;234;50;52;13;22;10;24;15;116;288;376;30;11;105;70;34;117;149;15;150;110;33;1;8;62;29;7;105;66;40;12;8;58;229;69;17;16;22;11;23;23;30;0;10;43;27;15;13;9;4;19;35;6;17;23;59;12;17;0;0;1;0;0;0;14;0;0
2015-03-01 04:00:00;14;18;3;17;88;285;241;287;815;192;2;8;11;3;0;34;650;429;229;315;164;461;128;3;10;13;13;24;4;410;574;413;380;457;575;148;54;28;5;12;6;31;13;83;211;259;19;8;48;54;24;73;85;14;138;90;35;2;8;49;15;11;59;26;28;6;3;58;122;49;16;18;35;17;18;24;23;0;8;35;27;7;13;12;12;34;26;16;26;31;62;17;39;0;1;1;0;0;0;22;0;16
2015-03-01 05:00:00;14;18;5;21;45;119;71;101;172;39;3;1;6;6;0;15;157;134;101;136;110;215;110;1;3;5;11;15;1;95;217;169;195;186;208;105;49;18;1;2;3;9;9;45;98;98;16;11;41;47;17;24;36;6;59;42;31;4;12;36;15;6;31;7;7;2;2;35;82;30;18;9;18;12;15;10;17;0;3;30;24;8;3;8;8;8;23;14;29;9;15;13;14;0;1;7;5;9;1;104;22;102
2015-03-01 06:00:00;7;30;7;19;53;87;56;81;73;26;1;4;12;10;3;11;72;78;110;150;182;209;41;10;1;3;13;13;2;54;142;153;158;142;173;124;87;41;4;10;3;22;8;51;110;119;26;13;64;82;27;18;23;18;83;87;73;9;24;32;23;4;16;5;6;7;9;59;131;112;30;23;14;14;15;6;17;1;7;33;23;13;8;2;6;20;25;22;31;17;21;15;13;0;3;9;1;43;4;139;29;31
2015-03-01 07:00:00;18;51;22;10;87;62;45;71;62;27;8;3;15;21;3;7;52;80;116;156;219;209;55;14;3;5;15;18;2;47;135;181;161;207;209;170;118;68;4;5;6;8;22;80;183;173;36;21;104;122;50;17;10;16;135;176;107;9;36;57;25;6;3;4;2;6;16;105;213;128;37;26;17;25;13;2;27;3;9;36;23;14;12;4;8;23;24;23;43;6;9;18;11;0;3;16;4;44;11;109;35;16
2015-03-01 08:00:00;24;81;44;25;122;101;117;144;117;56;15;7;28;37;10;5;72;120;200;230;349;297;150;25;4;3;13;20;4;61;179;232;261;285;438;259;253;112;4;7;2;20;20;137;286;238;83;42;197;213;69;9;9;38;216;284;230;44;70;83;51;13;4;4;10;9;19;196;363;220;48;38;23;13;22;2;22;12;13;52;36;13;10;12;10;26;20;16;36;14;17;14;17;0;7;62;10;52;9;31;14;43
2015-03-01 09:00:00;42;134;67;48;195;188;155;220;165;76;38;17;28;40;14;15;136;210;347;382;461;408;214;55;6;6;20;20;5;83;286;415;458;429;656;444;386;225;15;9;5;31;69;190;436;435;178;86;303;319;129;14;11;59;337;460;390;89;90;110;51;18;8;7;5;8;5;336;552;307;59;51;18;33;21;3;34;8;19;47;37;12;13;3;18;27;25;30;46;25;26;22;11;0;5;159;67;17;1;57;19;44
2015-03-01 10:00:00;52;163;118;76;259;267;268;342;258;116;29;15;41;51;16;16;173;314;542;556;657;533;200;50;3;5;17;35;5;141;377;564;667;586;812;588;537;292;11;21;7;27;59;240;636;626;182;134;428;463;143;16;21;89;415;714;489;104;122;142;52;9;9;11;12;15;14;345;799;380;64;63;23;29;14;3;23;26;24;55;45;16;12;12;21;41;34;29;46;14;33;20;11;0;12;146;205;54;7;74;10;29
2015-03-01 11:00:00;73;219;124;99;282;326;293;447;392;142;53;19;27;49;12;23;249;466;665;707;838;604;202;55;4;21;34;43;10;161;472;621;761;763;1007;733;695;314;25;15;13;16;72;252;823;831;226;175;472;417;133;27;29;74;538;823;598;150;126;121;73;20;6;7;7;16;17;414;884;421;64;55;39;22;21;4;32;13;10;62;40;28;20;10;16;34;30;26;45;13;14;23;12;8;12;180;171;73;3;100;5;32
2015-03-01 12:00:00;75;229;142;87;318;392;389;513;532;165;54;6;33;50;20;29;336;591;867;957;1067;626;168;41;1;17;13;32;4;202;504;706;910;889;1052;829;752;334;17;18;14;25;80;297;852;1065;339;201;471;445;143;28;36;89;532;898;799;182;111;134;67;15;13;12;15;23;13;389;914;435;68;76;31;16;18;4;28;15;20;57;38;25;12;11;6;31;15;28;33;10;16;16;11;13;8;196;133;73;1;117;26;64
2015-03-01 13:00:00;76;215;133;87;317;376;424;585;540;181;80;8;34;49;29;46;362;692;910;927;1076;721;167;57;11;15;33;38;12;194;616;719;986;962;1101;889;770;334;16;30;20;19;71;306;854;1310;370;202;503;448;166;34;47;82;608;896;710;171;105;133;65;12;13;17;12;18;18;417;899;446;64;65;50;24;19;7;24;9;10;44;58;24;13;7;13;32;37;30;32;7;11;13;9;1;8;210;192;85;1;138;16;90
2015-03-01 14:00:00;66;168;92;51;268;314;349;439;471;145;87;2;29;43;9;22;335;553;653;748;1021;575;134;34;5;22;21;19;6;217;500;584;784;798;935;780;613;216;14;22;16;24;36;242;730;1020;298;172;393;367;146;40;26;75;514;699;611;167;104;145;66;21;17;14;14;23;21;369;709;345;60;72;40;20;22;5;22;9;21;62;59;12;11;10;12;18;26;20;31;15;16;13;14;12;15;206;250;136;12;173;39;70
2015-03-01 15:00:00;39;115;73;54;185;218;248;322;366;133;64;7;16;38;13;17;238;400;483;554;744;412;101;23;3;9;9;22;4;151;373;443;603;599;731;533;443;203;8;18;12;17;44;188;579;880;182;130;325;290;100;23;37;61;357;511;477;112;64;96;61;18;9;14;16;13;21;259;563;242;52;30;36;26;23;3;25;8;9;48;56;23;10;12;7;24;15;10;20;9;17;6;11;18;6;151;134;161;12;158;59;69
2015-03-01 16:00:00;43;95;65;46;122;174;204;217;289;113;43;4;19;27;8;12;166;353;379;436;647;345;89;18;7;11;15;19;7;126;296;352;436;420;538;402;357;153;16;16;3;15;24;181;546;611;142;95;253;229;53;18;25;42;341;448;439;92;54;71;57;16;7;13;8;21;20;212;525;239;45;52;40;9;15;3;26;6;13;55;57;25;10;9;7;14;13;16;20;15;14;11;10;27;14;106;146;111;5;212;53;83
2015-03-01 17:00:00;40;118;66;47;198;184;227;268;297;97;24;8;27;22;15;14;255;406;420;515;657;409;72;21;4;14;26;28;0;139;333;393;525;513;676;503;379;159;11;18;8;12;24;183;541;734;170;96;299;219;89;17;27;38;379;464;448;92;49;82;76;12;8;10;14;17;19;203;489;225;62;47;49;17;20;3;18;11;6;54;70;26;12;13;6;13;13;12;20;10;13;20;11;6;14;239;195;116;13;174;79;63
2015-03-01 18:00:00;41;104;79;59;213;225;246;315;343;100;35;9;31;42;8;22;262;473;549;605;908;506;92;25;15;26;25;34;9;149;423;486;609;680;825;564;433;173;18;28;12;18;29;212;663;911;186;80;309;281;68;51;50;41;380;453;371;69;77;101;75;27;14;13;20;17;34;211;514;253;63;60;68;31;32;6;21;2;17;53;60;21;22;19;11;22;19;16;20;11;14;10;14;5;16;241;154;154;18;158;99;51
2015-03-01 19:00:00;34;100;49;56;165;215;261;356;343;73;21;2;16;31;4;16;318;514;525;573;1034;474;88;16;7;12;27;30;5;147;431;493;610;629;823;505;386;135;18;19;21;19;29;198;675;773;115;66;281;200;60;34;51;46;363;383;282;57;49;83;70;14;22;14;17;19;37;179;474;185;55;50;45;31;23;7;33;5;18;50;76;19;18;11;15;17;10;12;21;16;22;7;9;3;7;328;183;81;15;164;78;71
2015-03-01 20:00:00;26;71;41;31;115;187;215;341;314;92;14;9;17;22;7;23;286;473;460;501;1011;485;65;16;9;8;19;40;3;154;359;421;561;552;722;439;292;117;12;25;10;14;26;167;577;621;107;63;213;170;62;28;37;37;273;354;286;40;50;78;54;19;12;6;18;10;31;173;380;186;42;30;25;17;35;4;20;1;11;37;36;17;10;14;12;22;21;12;22;4;14;11;14;21;14;396;238;181;7;237;77;92
2015-03-01 21:00:00;32;36;46;31;107;192;271;374;284;113;3;6;18;24;8;27;263;479;428;432;901;470;65;9;10;19;15;20;10;159;395;370;520;524;772;412;256;90;10;29;10;9;19;147;489;498;76;57;192;141;49;53;38;33;227;302;207;35;17;61;46;16;19;13;16;8;31;123;257;167;45;36;39;25;28;2;24;2;17;44;53;20;15;16;19;12;20;7;25;8;14;6;5;31;9;296;214;164;27;197;83;97
2015-03-01 22:00:00;17;46;25;32;100;148;250;361;305;103;6;6;21;15;8;18;294;417;340;353;804;382;60;5;9;24;24;28;2;142;369;355;422;353;700;332;195;70;26;23;9;6;13;102;389;421;71;37;150;156;41;47;43;31;192;240;142;35;25;51;51;18;25;15;13;14;17;80;271;104;36;39;33;17;29;10;21;0;9;40;36;13;15;15;19;14;19;10;26;17;27;6;5;5;11;345;257;220;30;213;140;139
2015-03-01 23:00:00;17;24;12;25;77;133;211;227;215;84;3;3;19;19;2;17;283;326;271;296;684;351;46;5;11;18;16;28;0;146;270;257;313;351;509;242;125;41;17;22;10;11;9;92;302;304;36;14;99;80;47;48;48;20;126;164;111;15;27;59;30;11;31;11;14;12;20;59;197;91;32;23;37;25;15;6;30;3;9;29;36;8;5;16;5;13;21;7;16;14;19;8;15;0;8;194;51;130;27;190;124;120
2015-03-02 00:00:00;6;17;13;15;53;97;145;218;205;44;0;3;18;9;2;6;288;240;187;185;465;261;33;0;5;10;26;16;2;135;221;156;198;188;403;166;93;28;22;16;10;8;13;56;155;206;29;8;70;46;21;41;35;6;84;86;56;3;13;37;27;11;28;19;7;7;12;21;98;44;20;19;14;14;17;18;20;2;10;17;27;6;6;15;15;14;11;5;11;10;18;3;24;0;12;79;259;137;28;197;146;150
